品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
sony,不选,一级效能,全高清(1920×1080),曲面,不选,2m-2.5m(33-45英寸),京品电视,不选,31
haier,55英寸,二级效能,全高清(1920×1080),教育电视,互联网品牌,2m-2.5m(33-45英寸),不选,线下同款,49
haier,48-50英寸,一级效能,高清(1366×768),OLED,合资品牌,2.5m-3m(46-55英寸),京品电视,线下同款,42
创维,78英寸及以上,二级效能,4k超高清(3840×2160),智慧屏,商业显示品牌,不选,京品电视,线上专供,35
VIH,70-75英寸,二级效能,4k超高清(3840×2160),量子点,互联网品牌,3m-3.5m(56-65英寸),京品电视,线上专供,46
konka,65英寸,三级效能,8k超高清(7680×4320),游戏电视,互联网品牌,2m以下(≤32英寸),不选,线下同款,41
菲利普,58-60英寸,无效能等级,8k超高清(7680×4320),人工智能,互联网品牌,2.5m-3m(46-55英寸),新品电视,线下同款,42
VID^^,32英寸及以下,一级效能,不选,4K超清,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,39
酷开,不选,二级效能,全高清(1920×1080),超薄,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,42
小米,39-45英寸,不选,不选,智慧屏,合资品牌,2m以下(≤32英寸),京品电视,线下同款,36
酷开,78英寸及以上,不选,8k超高清(7680×4320),全面屏,互联网品牌,不选,不选,不选,40
Panasonic,58-60英寸,三级效能,高清(1366×768),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,48
长虹,55英寸,三级效能,全高清(1920×1080),量子点,互联网品牌,2.5m-3m(46-55英寸),京品电视,线上专供,42
MAXHUB,48-50英寸,一级效能,全高清(1920×1080),全面屏,不选,2m-2.5m(33-45英寸),新品电视,线上专供,42
konka,65英寸,不选,4k超高清(3840×2160),4K超清,不选,不选,京品电视,线下同款,38
MAXHUB,70-75英寸,三级效能,4k超高清(3840×2160),不选,不选,不选,不选,不选,28
MAXHUB,32英寸及以下,无效能等级,4k超高清(3840×2160),量子点,合资品牌,3.5m以上(70英寸以上),新品电视,不选,46
华为,不选,无效能等级,8k超高清(7680×4320),智慧屏,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,37
sharp,39-45英寸,不选,全高清(1920×1080),教育电视,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,46
三星,78英寸及以上,二级效能,全高清(1920×1080),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,43
菲利普,不选,一级效能,4k超高清(3840×2160),商业显示,合资品牌,2.5m-3m(46-55英寸),新品电视,不选,41
Hisense,70-75英寸,无效能等级,全高清(1920×1080),曲面,互联网品牌,2m以下(≤32英寸),不选,线下同款,42
菲利普,55英寸,无效能等级,高清(1366×768),全面屏,国产品牌,不选,不选,线下同款,41
haier,48-50英寸,无效能等级,不选,超薄,国产品牌,不选,新品电视,线下同款,37
小米,65英寸,三级效能,不选,OLED,国产品牌,3.5m以上(70英寸以上),京品电视,不选,29
konka,58-60英寸,无效能等级,不选,商业显示,国产品牌,不选,新品电视,线上专供,40
tcl,32英寸及以下,三级效能,高清(1366×768),人工智能,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,38
菲利普,78英寸及以上,二级效能,全高清(1920×1080),游戏电视,合资品牌,2m-2.5m(33-45英寸),京品电视,不选,38
小米,70-75英寸,一级效能,不选,超薄,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,37
小米,55英寸,不选,不选,曲面,商业显示品牌,2m-2.5m(33-45英寸),京品电视,线下同款,31
VIH,39-45英寸,无效能等级,全高清(1920×1080),OLED,互联网品牌,2.5m-3m(46-55英寸),京品电视,不选,41
Hisense,48-50英寸,二级效能,全高清(1920×1080),激光电视,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,38
tcl,65英寸,不选,高清(1366×768),曲面,国产品牌,2.5m-3m(46-55英寸),新品电视,线上专供,44
LG,78英寸及以上,三级效能,不选,OLED,不选,2m-2.5m(33-45英寸),京品电视,线下同款,37
长虹,58-60英寸,一级效能,不选,全面屏,不选,不选,不选,不选,39
haier,32英寸及以下,二级效能,高清(1366×768),商业显示,合资品牌,2m-2.5m(33-45英寸),不选,线上专供,41
VIH,不选,一级效能,高清(1366×768),智慧屏,不选,2m以下(≤32英寸),不选,线下同款,42
sony,70-75英寸,二级效能,不选,全面屏,合资品牌,3m-3.5m(56-65英寸),不选,不选,37
创维,55英寸,一级效能,全高清(1920×1080),激光电视,国产品牌,3m-3.5m(56-65英寸),京品电视,不选,40
创维,39-45英寸,二级效能,全高清(1920×1080),4K超清,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,40
tcl,不选,不选,不选,游戏电视,合资品牌,3m-3.5m(56-65英寸),新品电视,线下同款,37
Panasonic,48-50英寸,三级效能,8k超高清(7680×4320),大屏,互联网品牌,不选,京品电视,不选,42
三星,65英寸,三级效能,高清(1366×768),智慧屏,商业显示品牌,3.5m以上(70英寸以上),京品电视,不选,42
VIH,58-60英寸,三级效能,不选,超薄,不选,3.5m以上(70英寸以上),京品电视,不选,39
Panasonic,32英寸及以下,无效能等级,高清(1366×768),不选,不选,2m以下(≤32英寸),不选,不选,34
VID^^,78英寸及以上,二级效能,8k超高清(7680×4320),OLED,商业显示品牌,3m-3.5m(56-65英寸),不选,线下同款,38
创维,55英寸,不选,全高清(1920×1080),曲面,合资品牌,不选,不选,线上专供,28
LG,70-75英寸,一级效能,不选,教育电视,国产品牌,3.5m以上(70英寸以上),京品电视,线上专供,39
Panasonic,65英寸,不选,8k超高清(7680×4320),人工智能,不选,3.5m以上(70英寸以上),不选,不选,31
LG,48-50英寸,不选,高清(1366×768),OLED,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,41
MAXHUB,39-45英寸,无效能等级,高清(1366×768),智慧屏,互联网品牌,2m-2.5m(33-45英寸),不选,不选,41
菲利普,58-60英寸,一级效能,全高清(1920×1080),量子点,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,35
长虹,32英寸及以下,不选,4k超高清(3840×2160),超薄,国产品牌,2m以下(≤32英寸),京品电视,不选,37
三星,70-75英寸,不选,高清(1366×768),游戏电视,互联网品牌,2m-2.5m(33-45英寸),新品电视,线下同款,40
Panasonic,不选,一级效能,4k超高清(3840×2160),人工智能,商业显示品牌,不选,京品电视,线上专供,33
小米,55英寸,无效能等级,全高清(1920×1080),大屏,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,33
华为,78英寸及以上,不选,高清(1366×768),量子点,商业显示品牌,不选,京品电视,线下同款,38
小米,32英寸及以下,无效能等级,不选,激光电视,商业显示品牌,2m-2.5m(33-45英寸),京品电视,线下同款,31
创维,65英寸,不选,8k超高清(7680×4320),不选,国产品牌,2.5m-3m(46-55英寸),京品电视,不选,26
Hisense,58-60英寸,不选,8k超高清(7680×4320),商业显示,合资品牌,2.5m-3m(46-55英寸),不选,线下同款,29
Panasonic,55英寸,二级效能,全高清(1920×1080),人工智能,合资品牌,2m以下(≤32英寸),新品电视,线上专供,36
三星,48-50英寸,不选,全高清(1920×1080),教育电视,不选,3.5m以上(70英寸以上),不选,线下同款,36
不选,39-45英寸,不选,高清(1366×768),全面屏,不选,3.5m以上(70英寸以上),不选,线下同款,22
MAXHUB,不选,一级效能,高清(1366×768),不选,合资品牌,3.5m以上(70英寸以上),京品电视,线下同款,36
菲利普,78英寸及以上,不选,4k超高清(3840×2160),大屏,不选,3m-3.5m(56-65英寸),不选,不选,35
三星,65英寸,不选,不选,4K超清,国产品牌,3m-3.5m(56-65英寸),不选,线上专供,36
长虹,70-75英寸,三级效能,不选,游戏电视,不选,3.5m以上(70英寸以上),新品电视,线下同款,31
LG,39-45英寸,无效能等级,高清(1366×768),激光电视,国产品牌,3m-3.5m(56-65英寸),新品电视,不选,38
haier,55英寸,三级效能,不选,全面屏,商业显示品牌,3.5m以上(70英寸以上),京品电视,不选,36
VIH,32英寸及以下,不选,4k超高清(3840×2160),智慧屏,互联网品牌,不选,不选,不选,38
VIH,58-60英寸,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,不选,新品电视,线上专供,37
小米,不选,一级效能,8k超高清(7680×4320),激光电视,合资品牌,3m-3.5m(56-65英寸),京品电视,不选,27
tcl,48-50英寸,不选,8k超高清(7680×4320),大屏,不选,3.5m以上(70英寸以上),新品电视,线下同款,28
VID^^,78英寸及以上,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,40
Panasonic,65英寸,三级效能,4k超高清(3840×2160),商业显示,商业显示品牌,2m-2.5m(33-45英寸),不选,线下同款,38
konka,70-75英寸,不选,4k超高清(3840×2160),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,不选,35
酷开,78英寸及以上,无效能等级,8k超高清(7680×4320),曲面,互联网品牌,3m-3.5m(56-65英寸),京品电视,线上专供,38
不选,55英寸,三级效能,8k超高清(7680×4320),曲面,互联网品牌,2.5m-3m(46-55英寸),不选,不选,30
酷开,32英寸及以下,二级效能,不选,4K超清,商业显示品牌,2.5m-3m(46-55英寸),京品电视,不选,37
酷开,58-60英寸,二级效能,4k超高清(3840×2160),OLED,互联网品牌,2m-2.5m(33-45英寸),京品电视,线下同款,37
酷开,48-50英寸,三级效能,高清(1366×768),量子点,合资品牌,2m-2.5m(33-45英寸),不选,线下同款,38
sony,39-45英寸,一级效能,高清(1366×768),不选,互联网品牌,不选,不选,线上专供,32
华为,不选,二级效能,高清(1366×768),大屏,国产品牌,不选,不选,不选,35
konka,39-45英寸,三级效能,高清(1366×768),曲面,商业显示品牌,3m-3.5m(56-65英寸),不选,线下同款,37
Hisense,39-45英寸,一级效能,8k超高清(7680×4320),商业显示,互联网品牌,3.5m以上(70英寸以上),新品电视,不选,35
sharp,55英寸,不选,不选,商业显示,合资品牌,2m-2.5m(33-45英寸),不选,不选,31
haier,70-75英寸,一级效能,4k超高清(3840×2160),量子点,互联网品牌,不选,不选,不选,35
haier,65英寸,三级效能,高清(1366×768),人工智能,合资品牌,不选,不选,不选,30
Hisense,32英寸及以下,不选,8k超高清(7680×4320),曲面,国产品牌,3.5m以上(70英寸以上),京品电视,不选,27
sharp,48-50英寸,二级效能,高清(1366×768),不选,互联网品牌,3m-3.5m(56-65英寸),不选,不选,29
Panasonic,58-60英寸,二级效能,高清(1366×768),4K超清,不选,不选,不选,不选,34
VID^^,不选,不选,4k超高清(3840×2160),大屏,互联网品牌,2.5m-3m(46-55英寸),新品电视,线上专供,34
MAXHUB,65英寸,三级效能,不选,激光电视,互联网品牌,2.5m-3m(46-55英寸),京品电视,线下同款,41
小米,32英寸及以下,三级效能,4k超高清(3840×2160),曲面,不选,2.5m-3m(46-55英寸),新品电视,线下同款,31
Panasonic,70-75英寸,无效能等级,全高清(1920×1080),量子点,合资品牌,3.5m以上(70英寸以上),不选,不选,32
haier,78英寸及以上,二级效能,8k超高清(7680×4320),量子点,合资品牌,2m以下(≤32英寸),新品电视,线上专供,35
MAXHUB,48-50英寸,无效能等级,不选,不选,商业显示品牌,3m-3.5m(56-65英寸),不选,线上专供,30
酷开,55英寸,一级效能,8k超高清(7680×4320),超薄,合资品牌,2.5m-3m(46-55英寸),京品电视,不选,33
三星,78英寸及以上,无效能等级,高清(1366×768),教育电视,互联网品牌,3m-3.5m(56-65英寸),京品电视,不选,36
不选,58-60英寸,无效能等级,全高清(1920×1080),曲面,不选,2m以下(≤32英寸),京品电视,不选,29
LG,不选,二级效能,全高清(1920×1080),人工智能,国产品牌,不选,京品电视,不选,35
sharp,39-45英寸,二级效能,8k超高清(7680×4320),智慧屏,不选,2m以下(≤32英寸),京品电视,线上专供,35
长虹,32英寸及以下,一级效能,高清(1366×768),激光电视,合资品牌,3.5m以上(70英寸以上),京品电视,线上专供,33
华为,78英寸及以上,三级效能,4k超高清(3840×2160),4K超清,互联网品牌,不选,新品电视,线下同款,31
Panasonic,48-50英寸,无效能等级,4k超高清(3840×2160),教育电视,国产品牌,2m-2.5m(33-45英寸),京品电视,线上专供,34
华为,65英寸,三级效能,全高清(1920×1080),商业显示,合资品牌,3.5m以上(70英寸以上),不选,线下同款,35
华为,70-75英寸,一级效能,4k超高清(3840×2160),不选,不选,2m-2.5m(33-45英寸),不选,不选,22
LG,55英寸,不选,8k超高清(7680×4320),4K超清,国产品牌,2.5m-3m(46-55英寸),京品电视,线下同款,37
VIH,32英寸及以下,二级效能,不选,游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线下同款,33
tcl,58-60英寸,三级效能,4k超高清(3840×2160),全面屏,合资品牌,2.5m-3m(46-55英寸),不选,线下同款,29
Panasonic,39-45英寸,无效能等级,8k超高清(7680×4320),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,33
konka,不选,二级效能,高清(1366×768),激光电视,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,34
VID^^,48-50英寸,三级效能,全高清(1920×1080),超薄,互联网品牌,2m-2.5m(33-45英寸),不选,线上专供,39
sony,70-75英寸,一级效能,4k超高清(3840×2160),商业显示,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,35
创维,65英寸,一级效能,4k超高清(3840×2160),人工智能,互联网品牌,3.5m以上(70英寸以上),新品电视,线下同款,28
MAXHUB,58-60英寸,三级效能,全高清(1920×1080),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,36
酷开,55英寸,一级效能,高清(1366×768),人工智能,互联网品牌,3m-3.5m(56-65英寸),新品电视,不选,31
konka,32英寸及以下,三级效能,不选,教育电视,合资品牌,不选,不选,不选,29
Hisense,78英寸及以上,一级效能,4k超高清(3840×2160),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),不选,线下同款,35
创维,不选,无效能等级,不选,量子点,不选,3.5m以上(70英寸以上),不选,线下同款,27
VID^^,70-75英寸,三级效能,高清(1366×768),大屏,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,37
tcl,39-45英寸,无效能等级,不选,OLED,不选,2m以下(≤32英寸),不选,线上专供,30
tcl,55英寸,一级效能,4k超高清(3840×2160),教育电视,互联网品牌,不选,新品电视,线上专供,32
菲利普,48-50英寸,二级效能,4k超高清(3840×2160),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,32
长虹,65英寸,一级效能,8k超高清(7680×4320),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,32
华为,58-60英寸,一级效能,高清(1366×768),超薄,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,33
酷开,39-45英寸,三级效能,4k超高清(3840×2160),大屏,合资品牌,不选,新品电视,线下同款,32
创维,65英寸,二级效能,不选,商业显示,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,30
sony,不选,三级效能,不选,激光电视,合资品牌,不选,不选,线上专供,25
tcl,32英寸及以下,一级效能,8k超高清(7680×4320),量子点,国产品牌,3m-3.5m(56-65英寸),京品电视,线下同款,26
MAXHUB,70-75英寸,二级效能,全高清(1920×1080),OLED,合资品牌,3.5m以上(70英寸以上),不选,线下同款,30
长虹,78英寸及以上,三级效能,8k超高清(7680×4320),人工智能,不选,3m-3.5m(56-65英寸),京品电视,不选,27
LG,55英寸,二级效能,4k超高清(3840×2160),全面屏,不选,不选,新品电视,线上专供,35
konka,48-50英寸,一级效能,高清(1366×768),大屏,国产品牌,3.5m以上(70英寸以上),京品电视,线上专供,28
长虹,58-60英寸,一级效能,全高清(1920×1080),游戏电视,国产品牌,3m-3.5m(56-65英寸),京品电视,不选,32
华为,不选,不选,全高清(1920×1080),全面屏,不选,2m以下(≤32英寸),不选,线上专供,28
VID^^,39-45英寸,不选,高清(1366×768),OLED,互联网品牌,不选,不选,不选,24
LG,70-75英寸,三级效能,8k超高清(7680×4320),激光电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,32
不选,32英寸及以下,不选,全高清(1920×1080),人工智能,合资品牌,2m-2.5m(33-45英寸),新品电视,不选,26
VID^^,不选,一级效能,全高清(1920×1080),4K超清,合资品牌,2m以下(≤32英寸),京品电视,不选,34
